id,host_id,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9669437,49968561,1,1.2882,103.7925,2,25,1,1,1348.0,0.02,1,0
9669634,7940300,3,1.3166,103.90930999999999,0,111,1,0,1887.0,,1,0
9673809,49986525,5,1.45051,103.81707,0,35,3,2,1039.0,0.05,1,0
9683612,43228625,1,1.30366,103.85096999999999,2,29,1,11,319.0,0.25,14,356
9685415,17350694,1,1.3165,103.85179000000001,2,60,1,0,1887.0,,2,0
9685528,33102484,1,1.28681,103.79330999999999,0,50,1,0,1887.0,,1,0
9696725,50075316,2,1.38077,103.75995999999999,1,256,2,40,27.0,0.9,1,72
9698728,26900117,1,1.31693,103.85016,1,199,7,4,31.0,0.09,3,361
9699851,37629739,1,1.31636,103.8809,0,75,1,1,1339.0,0.02,3,0
9702984,13167940,1,1.29836,103.83529,0,85,1,0,1887.0,,1,0
9716208,50158481,1,1.3115299999999999,103.85984,2,35,1,80,17.0,1.78,8,358
9717005,7029973,1,1.32066,103.85301,0,81,2,37,58.0,3.4,5,69
9717769,36583927,3,1.33075,103.94238,0,81,2,0,1887.0,,1,0
9738917,50158481,1,1.31169,103.86033,2,69,1,4,79.0,0.1,8,362
9739084,50158481,1,1.31206,103.86046,0,210,1,0,1887.0,,8,358
9739843,2074218,1,1.30813,103.86388000000001,0,49,90,0,1887.0,,1,180
9746208,49380207,1,1.28294,103.84387,0,87,3,141,25.0,3.22,7,201
9760045,43056052,1,1.2924,103.80660999999999,1,151,5,9,852.0,0.21,13,0
9763409,29300081,1,1.2833700000000001,103.82942,1,150,3,2,968.0,0.05,1,0
9766212,8379240,1,1.31374,103.80672,1,250,2,5,1063.0,0.11,1,0
9778024,26234826,1,1.3134,103.87929,1,240,2,169,1.0,3.76,2,299
9786807,50445796,3,1.3370799999999998,103.93015,0,72,2,149,252.0,3.34,2,0
9811834,47160455,1,1.28025,103.82337,0,90,90,1,1296.0,0.02,1,364
9818528,28955194,1,1.28206,103.85365999999999,1,96,7,2,73.0,0.08,1,365
9828451,2594443,1,1.31854,103.84131,0,65,21,5,73.0,0.11,1,312
9830656,20717166,3,1.35734,103.93777,0,40,15,0,1887.0,,1,0
9849145,46463224,2,1.39029,103.76979,0,56,5,15,31.0,0.36,2,137
9857050,31583707,1,1.31408,103.88488000000001,1,219,2,2,1036.0,0.06,2,239
9866651,50158481,1,1.3129,103.86146,2,35,1,12,603.0,0.28,8,363
9866904,50158481,1,1.31132,103.86153,2,35,1,25,545.0,0.64,8,362
9866917,50158481,1,1.31284,103.86089,2,35,1,67,457.0,1.55,8,363
9866970,50158481,1,1.3123200000000002,103.86178000000001,2,35,1,11,568.0,0.25,8,360
9866985,45368183,1,1.28271,103.84586,0,92,1,4,213.0,0.26,9,350
9869425,50158481,1,1.31292,103.85983,2,69,1,6,690.0,0.14,8,363
9872354,7948331,1,1.30655,103.90307,0,78,2,22,10.0,0.68,1,351
9872882,37733466,4,1.3444399999999999,103.87119,0,60,5,2,942.0,0.05,1,0
9875315,35065351,5,1.44005,103.82372,0,90,7,0,1887.0,,2,365
9887900,28895367,4,1.3899299999999999,103.88019,1,165,90,13,919.0,0.3,1,364
9891697,28382771,1,1.31168,103.88002,1,150,365,13,1084.0,0.29,6,365
9896783,46545593,1,1.3108,103.85995,2,22,1,68,2.0,1.53,17,365
9897216,3925108,1,1.3384,103.86546,0,69,3,1,1336.0,0.02,1,0
9898367,50445796,3,1.3366799999999999,103.93036,0,72,2,168,14.0,3.77,2,45
9898989,50909973,1,1.30723,103.7844,0,56,4,2,1140.0,0.05,1,0
9901369,1725521,1,1.31103,103.88215,1,110,2,123,10.0,2.77,16,308
9910891,50960671,1,1.2866,103.85051,2,50,1,36,246.0,0.8,2,140
9911011,50961217,5,1.45265,103.82234,2,19,1,0,1887.0,,1,0
